Name,length (m),DIPOLE: Bending angle [rad],DIPOLE: Field (T),QUADRUPOLE: Gradient (T/m),QUADRUPOLE: K1L,Twiss s [m],start s [m],start X (m),start Theta [rad],start Z (m),Z end (m),dX [m],dY [m],dX/dS,dY/dS,beta X [m],beta Y [m],eta X [m],eta prime X,alpha X,alpha Y,Aperture Type,Aperture 1 [m],Aperture 2 [m],Aperture 3 [m],Aperture 4 [m]
DR_01_22,0.15,,,,,256.7100729,256.5600724,-2.690176833,0.02091137611,256.5412699,256.6912371,-1.112260587E-08,0,-1.381910097E-10,0,48.0234106,128.1490673,0.3516211832,0.004368660162,-0.6367190094,1.625090097,,,,,
SD1A_0,0.52,,,,,257.2300729,256.7100724,-2.693313311,0.02091137611,256.6912371,257.2111234,-1.114333452E-08,0,-1.381910097E-10,0,48.21508477,127.6621795,0.3522764823,0.004368660162,-0.6411087781,1.62082836,,,,,
DR_01_23,0.15,,,,,257.3800729,257.2300724,-2.704186434,0.02091137611,257.2111234,257.3610906,-1.121519384E-08,0,-1.381910014E-10,0,48.88975115,125.9842006,0.3545481855,0.004368659635,-0.6563265699,1.606054149,,,,,
DR_01_24,0.15,,,,,257.5300729,257.3800724,-2.707322912,0.02091137611,257.3610906,257.5110578,-1.123592249E-08,0,-1.381910014E-10,0,49.08730759,125.5030236,0.3552034845,0.004368659635,-0.6607163383,1.601792412,,,,,
DL1A0_8,9.500003037,0.0008713073363,0.01395021307,,,267.0300759,257.5300724,-2.71045939,0.02091137611,257.5110578,267.0088961,-1.125665114E-08,0,-1.381910014E-10,0,49.28618095,125.0231251,0.3558587834,0.004368659635,-0.6651061067,1.597530675,,,,,
DS_DL1A0_8,0.17,,,,,267.2000759,267.0300754,-2.913240829,0.02178268345,267.0088961,267.1788558,-1.270038308E-08,0,-1.657525052E-10,0,64.56437776,97.23409575,0.4014997703,0.005239967026,-0.9431248261,1.327628267,,,,,
DL1A1_8,9.500003037,0.0008713073363,0.01395021307,,,276.700079,267.2000754,-2.916943592,0.02178268345,267.1788558,276.6765138,-1.2728561E-08,0,-1.657525052E-10,0,64.88588597,96.78352324,0.4023905647,0.005239967026,-0.9480998969,1.322798259,,,,,
DS_DL1A1_8,0.17,,,,,276.870079,276.7000784,-3.12800049,0.02265399079,276.6765138,276.8464702,-1.443412727E-08,0,-1.933140089E-10,0,85.54096583,74.21445199,0.4563089737,0.006111274418,-1.226118616,1.05289179,,,,,
DL1A2_8,9.500003037,0.0008713073363,0.01395021307,,,286.370082,276.8700784,-3.131851339,0.02265399079,276.8464702,286.3439407,-1.446699065E-08,0,-1.933140089E-10,0,85.95869193,73.85728989,0.4573478904,0.006111274418,-1.231093687,1.04806175,,,,,
DR_01_25,0.15,,,,,286.520082,286.3700814,-3.351183535,0.02352529813,286.3439407,286.4938992,-1.643439126E-08,0,-2.208755127E-10,0,111.9906548,56.50824654,0.5195437215,0.006982581809,-1.509112407,0.7781520626,,,,,
QF2A_2,2.89,,,-1.409914541,0.0267890565,289.410082,286.5200814,-3.354712004,0.02352529813,286.4938992,289.3830995,-1.646752259E-08,0,-2.208755127E-10,0,112.444047,56.27544019,0.5205911088,0.006982581809,-1.513502175,0.7738902405,,,,,
DR_01_26,0.15,,,,,289.560082,289.4100814,-3.422693845,0.02352529813,289.3830995,289.533058,-1.646428925E-08,0,2.230986615E-10,0,112.5025875,56.28183936,0.5204888919,-0.007052863186,1.493771416,-0.7761613368,,,,,
SF2A_0,0.3,,,,,289.860082,289.5600814,-3.426222314,0.02352529813,289.533058,289.832975,-1.643082445E-08,0,2.230986615E-10,0,112.0551024,56.51532837,0.5194309623,-0.007052863186,1.489463044,-0.7804320566,,,,,
DR_01_27,0.15,,,,,290.010082,289.8600814,-3.433279252,0.02352529813,289.832975,289.9829335,-1.636389485E-08,0,2.230986527E-10,0,111.1640096,56.98615002,0.5173151034,-0.007052862626,1.480846181,-0.7889734345,,,,,
DL1A0_9,9.500003037,0.0008713073363,0.01395021307,,,299.510085,290.0100814,-3.436807721,0.02352529813,289.9829335,299.4802093,-1.633043006E-08,0,2.230986527E-10,0,110.720402,57.22348266,0.516257174,-0.007052862626,1.47653781,-0.793244154,,,,,
DS_DL1A0_9,0.17,,,,,299.680085,299.5100844,-3.664415048,0.02439660547,299.4802093,299.6501587,-1.434190962E-08,0,1.955371489E-10,0,85.25838249,74.86462845,0.453393675,-0.006181555235,1.203674251,-1.063717262,,,,,
DL1A1_9,9.500003037,0.0008713073363,0.01395021307,,,309.1800881,299.6800844,-3.66856206,0.02439660547,299.6501587,309.1472325,-1.43086683E-08,0,1.955371489E-10,0,84.84996332,75.22711514,0.4523428106,-0.006181555235,1.19879143,-1.068557386,,,,,
DS_DL1A1_9,0.17,,,,,309.3500881,309.1800874,-3.904444346,0.02526791281,309.1472325,309.3171782,-1.258198219E-08,0,1.679756452E-10,0,64.66512606,98.09918495,0.3977567337,-0.005310247843,0.9259278716,-1.339027227,,,,,
DL1A2_9,9.500003037,0.0008713073363,0.01395021307,,,318.8500911,309.3500874,-3.908739434,0.02526791281,309.3171782,318.8140429,-1.255342633E-08,0,1.679756452E-10,0,64.35114066,98.55527703,0.3968539915,-0.005310247843,0.9210450509,-1.343867318,,,,,
DR_01_28,0.15,,,,,319.0000911,318.8500904,-4.152896499,0.02613922015,318.8140429,318.9639917,-1.108857457E-08,0,1.404141414E-10,0,49.44348562,126.6582002,0.3505453367,-0.004438940452,0.6481814921,-1.61433305,,,,,
QD1AM_0,0.93,,,2.083153067,-0.01273711051,319.9300911,319.0000904,-4.156816936,0.02613922015,318.9639917,319.893674,-1.106751244E-08,0,1.404141414E-10,0,49.24967743,127.1431407,0.3498794956,-0.004438940452,0.6438731209,-1.618603682,,,,,
CELL_U$END,0,,,,,319.9300911,319.9300904,-4.181123643,0.02613922015,319.893674,319.893674,-1.100228424E-08,0,7.971680442E-19,0,48.65322865,128.6544141,0.3478174234,-8.955236699E-18,1.192511323E-15,2.089584765E-15,,,,,
CELL_U$END,0,,,,,319.9300911,319.9300904,-4.181123643,0.02613922015,319.893674,319.893674,-1.100228424E-08,0,7.971680442E-19,0,48.65322865,128.6544141,0.3478174234,-8.955236699E-18,1.192511323E-15,2.089584765E-15,,,,,
